Country,Country (2015.csv),Country (2017.csv),Region,Region (2015.csv),Dystopia Residual,Dystopia Residual (2015.csv),Dystopia.Residual,Economy (GDP per Capita),Economy (GDP per Capita) (2015.csv),Economy..GDP.per.Capita.,Family,Family (2015.csv),Family (2017.csv),Freedom,Freedom (2015.csv),Freedom (2017.csv),Generosity,Generosity (2015.csv),Generosity (2017.csv),Happiness Rank (2015.csv),Happiness Rank(2016.csv),Happiness Score,Happiness Score (2015.csv),Happiness.Rank(2017.csv),Happiness.Score,Health (Life Expectancy),Health (Life Expectancy) (2015.csv),Health..Life.Expectancy.,Lower Confidence Interval,Standard Error,Trust (Government Corruption),Trust (Government Corruption) (2015.csv),Trust..Government.Corruption.,Upper Confidence Interval,Whisker.high,Whisker.low
Switzerland,Switzerland,Switzerland,Western Europe,Western Europe,2.69463,2.51738,2.276716232,1.52733,1.39651,1.564979553,1.14524,1.34951,1.516911745,0.58557,0.66557,0.620070577,0.28083,0.29678,0.290549278,1,2,7.509,7.587,4,7.493999958,0.86303,0.94143,0.858131289,7.428,0.03411,0.41203,0.41978,0.367007285,7.59,7.561772420,7.426227496
Iceland,Iceland,Iceland,Western Europe,Western Europe,2.83137,2.70201,2.322715282,1.42666,1.30232,1.480633020,1.18326,1.40223,1.610574007,0.56624,0.62877,0.627162635,0.47678,0.4363,0.475540221,2,3,7.501,7.561,3,7.504000187,0.86733,0.94784,0.833552122,7.333,0.04884,0.14975,0.14145,0.153526559,7.669,7.622030473,7.385969901
Denmark,Denmark,Denmark,Western Europe,Western Europe,2.73939,2.49204,2.313707352,1.44178,1.32548,1.482383013,1.16374,1.36058,1.551121593,0.57941,0.64938,0.626006722,0.36171,0.34139,0.355280489,3,1,7.526,7.527,2,7.521999836,0.79504,0.87464,0.792565525,7.46,0.03328,0.44453,0.48357,0.400770068,7.592,7.581728065,7.462271607
Norway,Norway,Norway,Western Europe,Western Europe,2.66465,2.46531,2.277026653,1.57744,1.459,1.616463184,1.1269,1.33095,1.533523560,0.59609,0.66973,0.635422587,0.37895,0.34699,0.362012237,4,4,7.498,7.522,1,7.537000179,0.79579,0.88521,0.796666503,7.421,0.0388,0.35776,0.36503,0.315963835,7.575,7.594444821,7.479555538
Canada,Canada,Canada,North America,North America,2.70485,2.45176,2.187264442,1.44015,1.32629,1.479204416,1.0961,1.32261,1.481348991,0.5737,0.63297,0.611100912,0.44834,0.45811,0.435539722,5,6,7.404,7.427,7,7.315999985,0.8276,0.90563,0.834557652,7.335,0.03553,0.31329,0.32957,0.287371516,7.473,7.384402835,7.247597134
Finland,Finland,Finland,Western Europe,Western Europe,2.82596,2.61955,2.430181503,1.40598,1.29025,1.443571925,1.13464,1.31826,1.540246725,0.57104,0.64169,0.617950857,0.25492,0.23351,0.245482773,6,5,7.413,7.406,5,7.468999863,0.81091,0.88911,0.809157670,7.351,0.0314,0.41004,0.41372,0.382611543,7.475,7.527542076,7.410457650
Netherlands,Netherlands,Netherlands,Western Europe,Western Europe,2.70749,2.4657,2.294804096,1.46468,1.32944,1.503944635,1.02912,1.28017,1.428939223,0.55211,0.61576,0.585384488,0.47416,0.4761,0.470489830,7,7,7.339,7.378,6,7.376999855,0.81231,0.89284,0.810696125,7.284,0.02799,0.29927,0.31814,0.282661825,7.394,7.427425841,7.326573869
Sweden,Sweden,Sweden,Western Europe,Western Europe,2.54734,2.37119,2.097537994,1.45181,1.33171,1.494387269,1.08764,1.28907,1.478162169,0.58218,0.6598,0.612924099,0.38254,0.36262,0.385399252,8,10,7.291,7.364,9,7.283999920,0.83121,0.91087,0.830875158,7.227,0.03157,0.40867,0.43844,0.384398729,7.355,7.344094877,7.223904962
New Zealand,New Zealand,New Zealand,Australia and New Zealand,Australia and New Zealand,2.47553,2.26425,2.046456337,1.36066,1.25018,1.405706048,1.17278,1.31967,1.548195124,0.58147,0.63938,0.614062130,0.49401,0.47501,0.500005126,9,8,7.334,7.286,8,7.314000130,0.83096,0.90837,0.816759706,7.264,0.03371,0.41904,0.42922,0.382816702,7.404,7.379510442,7.248489818
Australia,Australia,Australia,Australia and New Zealand,Australia and New Zealand,2.5465,2.26646,2.065210819,1.44443,1.33358,1.484414935,1.10476,1.30923,1.510041952,0.56837,0.65124,0.601607382,0.47407,0.43562,0.477699250,10,9,7.313,7.284,10,7.283999920,0.8512,0.93156,0.843886793,7.241,0.04083,0.32331,0.35637,0.301183730,7.385,7.356651225,7.211348615
Israel,Israel,Israel,Middle East and Northern Africa,Middle East and Northern Africa,3.31029,3.08854,2.801757336,1.33766,1.22857,1.375382423,0.99537,1.22393,1.376289964,0.36432,0.41319,0.405988604,0.32288,0.33172,0.330082655,11,11,7.267,7.278,11,7.212999821,0.84917,0.91387,0.838404000,7.199,0.0347,0.08728,0.07785,0.085242100,7.335,7.279853256,7.146146385
Costa Rica,Costa Rica,Costa Rica,Latin America and Caribbean,Latin America and Caribbean,3.35168,3.17728,2.898639202,1.06879,0.95578,1.109706283,1.02152,1.23788,1.416403651,0.55225,0.63376,0.580131650,0.22553,0.25497,0.214613229,12,14,7.087,7.226,12,7.078999996,0.76146,0.86027,0.759509265,6.999,0.04454,0.10547,0.10583,0.100106589,7.175,7.168111666,6.989888326
Austria,Austria,Austria,Western Europe,Western Europe,2.69343,2.5332,2.138506413,1.45038,1.33723,1.487097263,1.08383,1.29704,1.459944963,0.54355,0.62433,0.567766190,0.32865,0.33088,0.316472322,13,12,7.119,7.2,13,7.006000042,0.80565,0.89042,0.815328419,7.045,0.03751,0.21348,0.18676,0.221060365,7.193,7.070669812,6.941330272
Mexico,Mexico,Mexico,Latin America and Caribbean,Latin America and Caribbean,3.55906,3.60214,2.837154865,1.11508,1.02054,1.153183818,0.7146,0.91451,1.210862160,0.37709,0.48181,0.412730008,0.11735,0.14074,0.120990433,14,21,6.778,7.187,25,6.578000069,0.71143,0.81444,0.709978998,6.68,0.04176,0.18355,0.21312,0.132774115,6.876,6.671148908,6.484851230
United States,United States,United States,North America,North America,2.72782,2.51011,2.218113422,1.50796,1.39451,1.546259284,1.04782,1.24711,1.419920564,0.48163,0.54604,0.505740523,0.41077,0.40105,0.392578781,15,13,7.104,7.119,14,6.993000031,0.779,0.86179,0.774286628,7.02,0.03839,0.14868,0.1589,0.135638788,7.188,7.074656748,6.911343313
Brazil,Brazil,Brazil,Latin America and Caribbean,Latin America and Caribbean,3.50733,3.26001,2.769267082,1.08754,0.98124,1.107353210,1.03938,1.23287,1.431306005,0.40425,0.49049,0.437453747,0.15776,0.14574,0.162349895,16,17,6.952,6.983,22,6.635000229,0.61415,0.69702,0.616552353,6.875,0.04076,0.14166,0.17521,0.111092761,7.029,6.725469502,6.544530956
Luxembourg,Luxembourg,Luxembourg,Western Europe,Western Europe,2.11055,1.96961,1.619512081,1.69752,1.56391,1.741943598,1.03999,1.21963,1.457583666,0.5487,0.61583,0.596627891,0.27571,0.28034,0.283180982,17,20,6.871,6.946,18,6.862999916,0.84542,0.91894,0.845089495,6.804,0.03499,0.35329,0.37798,0.318834424,6.938,6.923686100,6.802313732
Ireland,Ireland,Ireland,Western Europe,Western Europe,2.15988,1.9757,1.773869038,1.48341,1.33596,1.535706639,1.16157,1.36948,1.558231115,0.54008,0.61777,0.573110342,0.44963,0.45901,0.427858323,18,19,6.907,6.94,15,6.977000237,0.81455,0.89533,0.809782624,6.836,0.03676,0.29754,0.28703,0.298388153,6.978,7.043351668,6.910648805
Belgium,Belgium,Belgium,Western Europe,Western Europe,2.61355,2.41484,2.124210358,1.42539,1.30782,1.463780761,1.05249,1.28566,1.462312698,0.51354,0.5845,0.539770722,0.2424,0.2225,0.231503338,19,18,6.929,6.937,17,6.890999794,0.81959,0.89667,0.818091869,6.861,0.03595,0.26248,0.2254,0.251343131,6.997,6.955820750,6.826178838
United Arab Emirates,United Arab Emirates,United Arab Emirates,Middle East and Northern Africa,Middle East and Northern Africa,2.21507,2.24743,1.734703541,1.57352,1.42727,1.626343369,0.87114,1.12575,1.266410232,0.56215,0.64157,0.608345270,0.26591,0.26428,0.360941947,20,28,6.573,6.901,21,6.647999763,0.72993,0.80925,0.726798236,6.494,0.03729,0.35561,0.38583,0.324489564,6.652,6.722047304,6.573952223
United Kingdom,United Kingdom,United Kingdom,Western Europe,Western Europe,2.14999,1.96994,1.704143524,1.40283,1.26637,1.441633940,1.08672,1.28548,1.496460080,0.50036,0.59625,0.508190036,0.50156,0.51912,0.492774159,21,23,6.725,6.867,19,6.714000225,0.80991,0.90943,0.805335939,6.647,0.01866,0.27399,0.32067,0.265428066,6.803,6.783791761,6.644208689
,Oman,,,Middle East and Northern Africa,,2.47489,,,1.36011,,,1.08182,,,0.63274,,,0.21542,,22,,,6.853,,,,0.76276,,,0.05335,,0.32524,,,,
Venezuela,Venezuela,Venezuela,Latin America and Caribbean,Latin America and Caribbean,2.97468,3.19131,1.789463758,1.13367,1.04424,1.128431201,1.03302,1.25596,1.431337595,0.19847,0.42908,0.153997123,0.0425,0.05841,0.065019630,23,44,6.084,6.81,82,5.25,0.61904,0.72052,0.617144227,5.973,0.06476,0.08304,0.11069,0.064491123,6.195,5.370031946,5.129968054
Singapore,Singapore,Singapore,Southeastern Asia,Southeastern Asia,1.99375,1.88501,1.216362000,1.64555,1.52186,1.692277670,0.86758,1.02,1.353814363,0.4877,0.54252,0.549840569,0.32706,0.31105,0.345965981,24,22,6.739,6.798,26,6.572000027,0.94719,1.02525,0.949492395,6.674,0.0378,0.46987,0.4921,0.464307785,6.804,6.636723069,6.507276984
Panama,Panama,Panama,Latin America and Caribbean,Latin America and Caribbean,3.00559,2.84848,2.307199955,1.18306,1.06353,1.233748436,0.98912,1.1985,1.373192549,0.48927,0.5421,0.550026834,0.2418,0.24434,0.210556939,25,25,6.701,6.786,30,6.452000141,0.70835,0.79661,0.706156135,6.601,0.0491,0.08423,0.0927,0.070983924,6.801,6.557130716,6.346869566
Germany,Germany,Germany,Western Europe,Western Europe,2.50931,2.11569,2.015769958,1.44787,1.32792,1.487923384,1.09774,1.29937,1.472520351,0.53466,0.61477,0.562511384,0.30452,0.28214,0.336269170,26,16,6.994,6.75,16,6.951000214,0.81487,0.89186,0.798950732,6.93,0.01848,0.28551,0.21843,0.276731938,7.058,7.005381569,6.896618858
Chile,Chile,Chile,Latin America and Caribbean,Latin America and Caribbean,2.95505,2.67585,2.509585857,1.2167,1.10715,1.252784610,0.90587,1.12447,1.284024954,0.37789,0.44132,0.376895279,0.31595,0.33363,0.326662421,27,24,6.705,6.67,20,6.651999950,0.81883,0.85857,0.819479704,6.615,0.058,0.11451,0.12869,0.082287982,6.795,6.739250560,6.564749341
Qatar,Qatar,Qatar,Middle East and Northern Africa,Middle East and Northern Africa,1.58224,1.55674,1.145464420,1.82427,1.69042,1.870765686,0.87964,1.0786,1.274296880,0.56679,0.6404,0.604130983,0.32388,0.32573,0.330473870,28,36,6.375,6.611,35,6.375,0.71723,0.79733,0.710098088,6.178,0.06257,0.48049,0.52208,0.439299256,6.572,6.568476814,6.181523186
France,France,France,Western Europe,Western Europe,2.4744,2.21126,2.005954742,1.39488,1.27778,1.430923462,1.00508,1.26038,1.387776852,0.46562,0.55011,0.470222116,0.1216,0.12332,0.129762307,29,32,6.478,6.575,31,6.441999912,0.83795,0.94579,0.844465852,6.397,0.03512,0.17808,0.20646,0.172502428,6.559,6.515767802,6.368232022
Argentina,Argentina,Argentina,Latin America and Caribbean,Latin America and Caribbean,3.12985,2.836,2.614005327,1.15137,1.05351,1.185295463,1.06612,1.24823,1.440451145,0.42284,0.44974,0.494519204,0.10989,0.11451,0.109457061,30,26,6.65,6.574,24,6.598999977,0.69711,0.78723,0.695137084,6.56,0.04612,0.07296,0.08484,0.059739888,6.74,6.690085086,6.507914868
Czech Republic,Czech Republic,Czech Republic,Central and Eastern Europe,Central and Eastern Europe,2.96211,2.67782,2.451861858,1.30915,1.17898,1.352682352,1.00793,1.20643,1.433885217,0.41418,0.46364,0.490946174,0.09929,0.10686,0.088106759,31,27,6.596,6.505,23,6.609000206,0.76376,0.84483,0.754444003,6.515,0.04168,0.03986,0.02652,0.036872927,6.677,6.683862463,6.534137949
Uruguay,Uruguay,Uruguay,Latin America and Caribbean,Latin America and Caribbean,2.67139,2.32142,2.172409534,1.18157,1.06166,1.217559695,1.03143,1.2089,1.412227869,0.54388,0.60362,0.579392254,0.18056,0.2324,0.175096929,32,29,6.545,6.485,28,6.453999996,0.72183,0.8116,0.719216824,6.456,0.04539,0.21394,0.24558,0.178061873,6.634,6.545906218,6.362093775
Colombia,Colombia,Colombia,Latin America and Caribbean,Latin America and Caribbean,3.17471,2.85737,2.616068125,1.03032,0.91861,1.070622325,1.02169,1.24018,1.402182937,0.44735,0.53466,0.477487415,0.15626,0.18401,0.149014473,33,31,6.481,6.477,36,6.356999874,0.59659,0.69077,0.595027924,6.384,0.05051,0.05399,0.0512,0.046668742,6.578,6.452020054,6.261979694
Thailand,Thailand,Thailand,Southeastern Asia,Southeastern Asia,2.5796,2.31945,2.039508343,1.0893,0.9669,1.127868772,1.04477,1.26504,1.425792456,0.49553,0.55664,0.580200732,0.58696,0.5763,0.572123110,34,33,6.474,6.455,32,6.423999786,0.64915,0.7385,0.647239029,6.396,0.03557,0.02833,0.03187,0.031612735,6.552,6.509116856,6.338882717
Saudi Arabia,Saudi Arabia,Saudi Arabia,Middle East and Northern Africa,Middle East and Northern Africa,2.61482,2.43872,2.065429688,1.48953,1.39541,1.530623555,0.84829,1.08393,1.286677599,0.37904,0.31048,0.449750572,0.15457,0.13706,0.147616014,35,34,6.379,6.411,37,6.343999863,0.59267,0.72025,0.590148330,6.287,0.04633,0.30008,0.32524,0.273432255,6.471,6.444166612,6.243833113
Spain,Spain,Spain,Western Europe,Western Europe,2.39663,2.12367,1.927757740,1.34253,1.23011,1.384397864,1.12945,1.31379,1.532090902,0.37545,0.45951,0.408781230,0.17665,0.18227,0.190133572,36,37,6.361,6.329,34,6.402999878,0.87896,0.95562,0.888960600,6.288,0.03468,0.06137,0.06398,0.070914097,6.434,6.471054845,6.334944911
Malta,Malta,Malta,Western Europe,Western Europe,1.99032,1.6488,1.556862831,1.30782,1.2074,1.343279839,1.09879,1.30203,1.488411665,0.54994,0.60365,0.588767052,0.56237,0.51752,0.574730575,37,30,6.488,6.302,27,6.526999950,0.80315,0.88721,0.821944237,6.409,0.04206,0.17554,0.13586,0.153066069,6.567,6.598396773,6.455603128
Taiwan,Taiwan,,Eastern Asia,Eastern Asia,2.61523,2.32323,,1.39729,1.29098,,0.92624,1.07617,,0.32377,0.3974,,0.25495,0.25376,,38,34,6.379,6.298,,,0.79565,0.8753,,6.305,0.03868,0.0663,0.08129,,6.453,,
Kuwait,Kuwait,Kuwait,Middle East and Northern Africa,Middle East and Northern Africa,2.28085,1.87634,1.640425205,1.61714,1.55422,1.632952452,0.87758,1.16594,1.259698749,0.43166,0.55499,0.496337593,0.15965,0.16228,0.228289798,39,41,6.239,6.295,39,6.105000019,0.63569,0.72492,0.632105708,6.154,0.04456,0.23669,0.25609,0.215159550,6.324,6.191956989,6.018043049
Suriname,Suriname,,Latin America and Caribbean,Latin America and Caribbean,3.06852,2.79094,,1.09686,0.99534,,0.77866,0.972,,0.52234,0.59657,,0.16665,0.16991,,40,40,6.269,6.269,,,0.50933,0.6082,,6.073,0.09811,0.12692,0.13633,,6.465,,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America and Caribbean,Latin America and Caribbean,2.51394,2.26882,2.053247452,1.32572,1.21183,1.361355901,0.98569,1.18354,1.380228519,0.48453,0.55884,0.518630743,0.31935,0.31844,0.325296462,41,43,6.168,6.168,38,6.168000221,0.52608,0.61483,0.519983292,5.95,0.10895,0.01241,0.0114,0.008964816,6.386,6.381533891,5.954466552
El Salvador,El Salvador,El Salvador,Latin America and Caribbean,Latin America and Caribbean,3.22134,3.035,2.714593887,0.8737,0.76454,0.909784496,0.80975,1.02507,1.182125092,0.37269,0.4035,0.432452530,0.08877,0.10692,0.078257985,42,46,6.068,6.13,45,6.002999783,0.596,0.67737,0.596018553,5.967,0.05618,0.10613,0.11776,0.089980960,6.169,6.108635122,5.897364443
Guatemala,Guatemala,Guatemala,Latin America and Caribbean,Latin America and Caribbean,3.19863,2.74255,2.893891096,0.83454,0.74553,0.872001946,0.87119,1.04356,1.255585194,0.50379,0.57733,0.531310618,0.28808,0.27489,0.283488393,43,39,6.324,6.123,29,6.453999996,0.54039,0.64425,0.540239990,6.213,0.05224,0.08701,0.09472,0.077223279,6.435,6.566873973,6.341126020
Uzbekistan,Uzbekistan,Uzbekistan,Central and Eastern Europe,Central and Eastern Europe,2.34638,2.23741,1.816913605,0.73591,0.63244,0.786441088,1.1681,1.34043,1.548969150,0.60848,0.65821,0.658248663,0.34326,0.22837,0.415983647,44,49,5.987,6.003,47,5.971000195,0.50163,0.59772,0.498272628,5.896,0.04361,0.28333,0.30826,0.246528223,6.078,6.065537573,5.876462816
Slovakia,Slovakia,Slovakia,Central and Eastern Europe,Central and Eastern Europe,2.61065,2.24639,2.097776651,1.27973,1.16891,1.325393558,1.08268,1.26999,1.505059242,0.23391,0.31751,0.295817465,0.13837,0.16893,0.136544481,45,45,6.078,5.995,40,6.098000050,0.70367,0.78902,0.712732911,5.996,0.04267,0.02947,0.03431,0.024210852,6.16,6.177348412,6.018651687
Japan,Japan,Japan,Eastern Asia,Eastern Asia,1.80584,1.68435,1.363223553,1.38007,1.27074,1.416915178,1.06054,1.25712,1.436337829,0.46761,0.49615,0.505625546,0.10224,0.10705,0.120572768,46,53,5.921,5.987,51,5.920000076,0.91491,0.99111,0.913475871,5.85,0.03581,0.18985,0.1806,0.163760737,5.992,5.990719445,5.849280708
South Korea,South Korea,South Korea,Eastern Asia,Eastern Asia,2.35015,2.21978,1.880378008,1.35948,1.24461,1.401678443,0.72194,0.95774,1.128274441,0.25168,0.33208,0.257921666,0.18824,0.18557,0.206674367,47,57,5.835,5.984,55,5.837999821,0.88645,0.96538,0.900214076,5.747,0.04098,0.07716,0.07857,0.063282669,5.923,5.922559028,5.753440613
Ecuador,Ecuador,Ecuador,Latin America and Caribbean,Latin America and Caribbean,2.77366,2.53942,2.290352583,0.97306,0.86402,1.000820398,0.85974,0.99903,1.286168814,0.4027,0.48574,0.455198199,0.10074,0.11541,0.150112465,48,51,5.976,5.975,44,6.007999897,0.68613,0.79075,0.685636222,5.88,0.04528,0.18037,0.1809,0.140134647,6.072,6.105847675,5.910152119
Bahrain,Bahrain,Bahrain,Middle East and Northern Africa,Middle East and Northern Africa,2.27405,1.73797,1.656149387,1.44024,1.32376,1.488412261,0.94397,1.21624,1.323110461,0.47375,0.45492,0.536746919,0.17147,0.17362,0.172668487,49,42,6.218,5.96,41,6.086999893,0.65696,0.74716,0.653133035,6.128,0.05412,0.25772,0.306,0.257042170,6.308,6.178989068,5.995010719
Italy,Italy,Italy,Western Europe,Western Europe,2.34918,2.02518,1.813312054,1.35495,1.25114,1.395066619,1.04167,1.19777,1.444923282,0.18827,0.26236,0.256450713,0.16684,0.22823,0.172789648,50,50,5.977,5.948,48,5.964000225,0.85102,0.95446,0.853144348,5.898,0.03914,0.02556,0.02901,0.028028091,6.056,6.042736906,5.885263544
Bolivia,Bolivia,Bolivia,Latin America and Caribbean,Latin America and Caribbean,2.91635,2.82334,2.443279028,0.79422,0.68133,0.833756566,0.83779,0.97841,1.227619052,0.50961,0.57414,0.558732927,0.21698,0.20536,0.225560725,51,59,5.822,5.89,58,5.822999954,0.4697,0.5392,0.473630250,5.74,0.05642,0.07746,0.088,0.060477726,5.904,5.903976903,5.742023006
Moldova,Moldova,Moldova,Central and Eastern Europe,Central and Eastern Europe,3.38007,3.10712,2.807808399,0.69177,0.59448,0.728870630,0.83132,1.01528,1.251825571,0.25202,0.32818,0.240729049,0.19997,0.20951,0.208779126,52,55,5.897,5.889,56,5.837999821,0.52309,0.61826,0.589465201,5.823,0.03799,0.01903,0.01615,0.010091286,5.971,5.908370838,5.767628803
